,Frequency,한국어,English
0,1195.0,가게,store
1,898.0,가격,price
2,2986.0,가구,furniture
3,648.0,가깝다,close
4,852.0,가끔,sometimes
5,2757.0,가늘다,thin
6,25.0,가다,go 
7,1196.0,가득,full 
8,698.0,가르치다,teach 
9,1367.0,가리키다,point 
10,1530.0,가방,bag 
11,1189.0,가볍다,light
12,2000.0,가수,singer 
13,384.0,가슴,chest 
14,6526.0,가요,song 
15,264.0,가운데,middle
16,6172.0,가위,scissor
17,1268.0,가을,autumn 
18,127.0,가장,"most, best"
19,3512.0,가져가다,take away
20,1060.0,가져오다,bring
21,409.0,가족,family 
22,2124.0,가지,"kind, sort"
23,94.0,가지다,have
24,751.0,각각,each 
25,1336.0,간단하다,simple 
26,2987.0,간단히,simply
27,8290.0,간식,snack 
28,3100.0,간장,soy sauce 
29,7438.0,간호사,nurse
30,12246.0,갈비,"rip, galbi"
31,38470.0,갈비탕,"galbitang, short rip soup"
32,3342.0,갈색,brown
33,4035.0,갈아입다,change
34,9018.0,갈아타다,transfer
35,8293.0,감,persimmon 
36,3343.0,감기,cold 
37,,감기약,cold medicine
38,2125.0,감다,close
39,,감다,wash 
40,6352.0,감사,thanks
41,3513.0,감자,potato 
42,475.0,갑자기,suddenly
43,788.0,값,value
44,1812.0,강,river 
45,14028.0,강아지,puppy
46,584.0,강하다,strong 
47,190.0,갖다,have
48,22.0,같다,same
49,203.0,같이,together
50,3386.0,갚다,pay back
51,1569.0,개,dog 
52,,개,(counting unit) 
53,799.0,개월,month
54,3102.0,거,thing
55,293.0,거기,there 
56,1258.0,거리,"street, road "
57,,거리,distance 
58,2675.0,거실,living room 
59,2109.0,거울,mirror 
60,306.0,거의,"almost, nearly"
61,,거절,rejection 
62,2246.0,거짓말,lie
63,1129.0,걱정,worry
64,647.0,건강,health 
65,4255.0,건너가다,cross over
66,2276.0,건너다,cross
67,5448.0,건너편,other side
68,649.0,건물,building 
69,546.0,걷다,walk 
70,716.0,걸다,hang 
71,380.0,걸리다,"be hung, catch "
72,1970.0,걸어가다,walk
73,4041.0,걸어오다,walk 
74,1647.0,걸음,step
75,3025.0,검사,inspection 
76,3064.0,검은색,black color
77,,검정,black 
78,1.0,것,thing 
79,2759.0,겉,outside 
80,13080.0,게으르다,lazy
81,877.0,게임,game
82,920.0,겨울,winter
83,211.0,결과,result 
84,16464.0,결석,absent 
85,4763.0,결심,determination 
86,1092.0,결정,decision 
87,601.0,결혼,marriage
88,3389.0,결혼식,wedding ceremony
89,2543.0,경기,match 
90,632.0,경찰,police 
91,3214.0,경찰서,police office
92,5452.0,경치,"scenery , view"
93,585.0,경험,experience
94,2206.0,계단,stairs 
95,6951.0,계란,egg
96,1827.0,계산,calculation 
97,405.0,계속,continue 
98,1432.0,계시다,"be there, stay"
99,2520.0,계절,season 
100,400.0,계획,plan 
101,403.0,고개,head 
102,1055.0,고기,meat 
103,1337.0,고등학교,high school
104,7445.0,고등학생,high school student
105,1496.0,고르다,pick 
106,857.0,고맙다,thank you 
107,1848.0,고모,aunt 
108,1748.0,고민,worry
109,11580.0,고속버스,express bus
110,1987.0,고양이,cat
111,1480.0,고장,"breakdown, failure"
112,6014.0,고추장,red pepper paste
113,1503.0,고치다,fix 
114,5860.0,고프다,hungry
115,593.0,고향,hometown 
116,307.0,곧,soon 
117,116.0,곳,place 
118,988.0,공,ball 
119,1865.0,공무원,public official
120,490.0,공부,study 
121,2950.0,공원,park 
122,685.0,공장,factory 
123,6540.0,공짜,free
124,5179.0,공책,notebook 
125,2433.0,공항,airport 
126,9466.0,공휴일,holiday
127,8674.0,과거,past 
128,1491.0,과일,fruit 
129,4402.0,과자,sweets 
130,152.0,관계,relationship 
131,1719.0,관광,tourism 
132,3730.0,관광객,tourist
133,7182.0,관광지,tourist destination
134,312.0,관심,interest 
135,316.0,광고,advertisement 
136,,광주,Gwangju 
137,813.0,괜찮다,okay
138,9474.0,괴로워하다,suffer
139,2887.0,교과서,textbook
140,474.0,교사,teacher 
141,371.0,교수,professor 
142,1339.0,교실,classroom
143,198.0,교육,education
144,1249.0,교통,transportation 
145,,교통비,transportation fee
146,3517.0,교통사고,traffic accident
147,3107.0,교환,exchange 
148,1708.0,교회,church 
149,10999.0,구,nine
150,2705.0,구경,sightseeing
151,3217.0,구두,shoes 
152,2493.0,구름,cloud 
153,,구십,ninety
154,1076.0,구월,September 
155,3732.0,국,soup 
156,447.0,국내,domestic 
157,6022.0,국수,noodle 
158,4868.0,국적,nationality 
159,878.0,국제,international 
160,2434.0,군인,soldier
161,3259.0,굳다,harden/hard
162,1937.0,굵다,"thick, big"
163,1892.0,굽다,"bake, roast, grill"
164,1849.0,궁금하다,curious
165,1672.0,권,volume 
166,840.0,귀,ear 
167,,귀걸이,earring
168,,귀여워하다,"love, adore"
169,2617.0,귀엽다,cute
170,3679.0,귀찮다,"bother, feel annoyed"
171,2127.0,규칙,rule 
172,10419.0,귤,tangerine
173,15.0,그,that 
174,139.0,그거,it
175,48.0,그것,that
176,860.0,그곳,there
177,672.0,그날,that day
178,303.0,그냥,just
179,340.0,그대로,as it is
180,473.0,그동안,meantime
181,187.0,그때,at that time
182,330.0,그래,"yes, ok "
183,134.0,그래서,therefore
184,34.0,그러나,but
185,785.0,그러니까,so
186,636.0,그러면,then
187,1127.0,그러므로,therefore
188,54.0,그런,such 
189,142.0,그런데,by the way
190,457.0,그럼,then 
191,,그럼,"yes, of course "
192,38.0,그렇다,yes
193,1120.0,그렇지만,but
194,1563.0,그릇,bowl 
195,52.0,그리고,and
196,439.0,그리다,draw 
197,362.0,그림,figure 
198,3853.0,그립다,miss 
199,745.0,그만,stop 
200,1866.0,그만두다,"quit, leave"
201,2706.0,그분,him
202,20155.0,그저께,day before yesterday
203,3027.0,그쪽,"that way, there"
204,1150.0,그치다,stop
205,2331.0,극장,theater
206,1151.0,근처,"around, near"
207,252.0,글,writing
208,1972.0,글쎄,well 
209,4119.0,글쎄요,well
210,3976.0,글씨,writing
211,1564.0,글자,letter
212,1597.0,금방,a moment ago
213,7714.0,금요일,friday
214,2591.0,금지,"ban, prohibition"
215,2437.0,급하다,in a hurry
216,678.0,기간,period 
217,298.0,기다리다,wait
218,882.0,기르다,"cultivate, raise"
219,1893.0,기름,oil 
220,,기말시험,final exam
221,525.0,기분,mood
222,3308.0,기뻐하다,be happy
223,1625.0,기쁘다,happy
224,1633.0,기쁨,pleasure
225,4776.0,기숙사,dormitory
226,847.0,기억,memory 
227,7464.0,기억나다,remember
228,2379.0,기온,temperature
229,637.0,기자,reporter 
230,2919.0,기차,train 
231,,기차역,train station
232,,기차표,train ticket
233,7466.0,기침,cough 
234,3068.0,기타,other
235,770.0,기회,opportunity
236,2464.0,긴장,tension
237,173.0,길,"street, road "
238,386.0,길다,long
239,1283.0,길이,length
240,6970.0,김,"laver, seaweed"
241,7720.0,김밥,kimbap
242,2207.0,김치,kimchi 
243,16599.0,김치찌개,kimchi stew
244,461.0,깊다,deep
245,3224.0,깊이,depth
246,26135.0,까만색,black color
247,3264.0,까맣다,black
248,2465.0,깎다,cut
249,2762.0,깜짝,surprise 
250,1939.0,깨끗이,clean
251,1471.0,깨끗하다,clean
252,2277.0,깨다,wake up 
253,791.0,꺼내다,take out
254,4262.0,껌,chewing gum
255,2993.0,꼭,surely
256,470.0,꽃,flower 
257,,꽃다발,bouquet
258,,꽃병,vase
259,,꽃집,"florist, flower shop"
260,3028.0,꾸다,dream 
261,535.0,꿈,a dream
262,2495.0,끄다,turn off 
263,1614.0,끊다,quit
264,2854.0,끓다,(sth) boil
265,1416.0,끓이다,boil (sth)
