Frequency,한국어,English
1195,가게,store
,가격,price
,가구,furniture
,가깝다,close
,가끔,sometimes
,가늘다,thin
,가다,go 
,가득,full 
,가르치다,teach 
,가리키다,point 
,가방,bag 
,가볍다,light
,가수,singer 
,가슴,chest 
,가요,song 
,가운데,middle
,가위,scissor
,가을,autumn 
,가장,"most, best"
,가져가다,take away
,가져오다,bring
,가족,family 
,가지,"kind, sort"
,가지다,have
,각각,each 
,간단하다,simple 
,간단히,simply
,간식,snack 
,간장,soy sauce 
,간호사,nurse
,갈비,"rip, galbi"
,갈비탕,"galbitang, short rip soup"
,갈색,brown
,갈아입다,change
,갈아타다,transfer
,감,persimmon 
,감기,cold 
,감기약,cold medicine
,감다,close
,감다,wash 
,감사,thanks
,감자,potato 
,갑자기,suddenly
,값,value
,강,river 
,강아지,puppy
,강하다,strong 
,갖다,have
,같다,same
,같이,together
,갚다,pay back
,개,dog 
,개,(counting unit) 
,개월,month
,거,thing
,거기,there 
,거리,"street, road "
,거리,distance 
,거실,living room 
,거울,mirror 
,거의,"almost, nearly"
,거절,rejection 
,거짓말,lie
,걱정,worry
,건강,health 
,건너가다,cross over
,건너다,cross
,건너편,other side
,건물,building 
,걷다,walk 
,걸다,hang 
,걸리다,"be hung, catch "
,걸어가다,walk
,걸어오다,walk 
,걸음,step
,검사,inspection 
,검은색,black color
,검정,black 
,것,thing 
,겉,outside 
,게으르다,lazy
,게임,game
,겨울,winter
,결과,result 
,결석,absent 
,결심,determination 
,결정,decision 
,결혼,marriage
,결혼식,wedding ceremony
,경기,match 
,경찰,police 
,경찰서,police office
,경치,"scenery , view"
,경험,experience
,계단,stairs 
,계란,egg
,계산,calculation 
,계속,continue 
,계시다,"be there, stay"
,계절,season 
,계획,plan 
,고개,head 
,고기,meat 
,고등학교,high school
,고등학생,high school student
,고르다,pick 
,고맙다,thank you 
,고모,aunt 
,고민,worry
,고속버스,express bus
,고양이,cat
,고장,"breakdown, failure"
,고추장,red pepper paste
,고치다,fix 
,고프다,hungry
,고향,hometown 
,곧,soon 
,곳,place 
,공,ball 
,공무원,public official
,공부,study 
,공원,park 
,공장,factory 
,공짜,free
,공책,notebook 
,공항,airport 
,공휴일,holiday
,과거,past 
,과일,fruit 
,과자,sweets 
,관계,relationship 
,관광,tourism 
,관광객,tourist
,관광지,tourist destination
,관심,interest 
,광고,advertisement 
,광주,Gwangju 
,괜찮다,okay
,괴로워하다,suffer
,교과서,textbook
,교사,teacher 
,교수,professor 
,교실,classroom
,교육,education
,교통,transportation 
,교통비,transportation fee
,교통사고,traffic accident
,교환,exchange 
,교회,church 
,구,nine
,구경,sightseeing
,구두,shoes 
,구름,cloud 
,구십,ninety
,구월,September 
,국,soup 
,국내,domestic 
,국수,noodle 
,국적,nationality 
,국제,international 
,군인,soldier
,굳다,harden/hard
,굵다,"thick, big"
,굽다,"bake, roast, grill"
,궁금하다,curious
,권,volume 
,귀,ear 
,귀걸이,earring
,귀여워하다,"love, adore"
,귀엽다,cute
,귀찮다,"bother, feel annoyed"
,규칙,rule 
,귤,tangerine
,그,that 
,그거,it
,그것,that
,그곳,there
,그날,that day
,그냥,just
,그대로,as it is
,그동안,meantime
,그때,at that time
,그래,"yes, ok "
,그래서,therefore
,그러나,but
,그러니까,so
,그러면,then
,그러므로,therefore
,그런,such 
,그런데,by the way
,그럼,then 
,그럼,"yes, of course "
,그렇다,yes
,그렇지만,but
,그릇,bowl 
,그리고,and
,그리다,draw 
,그림,figure 
,그립다,miss 
,그만,stop 
,그만두다,"quit, leave"
,그분,him
,그저께,day before yesterday
,그쪽,"that way, there"
,그치다,stop
,극장,theater
,근처,"around, near"
,글,writing
,글쎄,well 
,글쎄요,well
,글씨,writing
,글자,letter
,금방,a moment ago
,금요일,friday
,금지,"ban, prohibition"
,급하다,in a hurry
,기간,period 
,기다리다,wait
,기르다,"cultivate, raise"
,기름,oil 
,기말시험,final exam
,기분,mood
,기뻐하다,be happy
,기쁘다,happy
,기쁨,pleasure
,기숙사,dormitory
,기억,memory 
,기억나다,remember
,기온,temperature
,기자,reporter 
,기차,train 
,기차역,train station
,기차표,train ticket
,기침,cough 
,기타,other
,기회,opportunity
,긴장,tension
,길,"street, road "
,길다,long
,길이,length
,김,"laver, seaweed"
,김밥,kimbap
,김치,kimchi 
,김치찌개,kimchi stew
,깊다,deep
,깊이,depth
,까만색,black color
,까맣다,black
,깎다,cut
,깜짝,surprise 
,깨끗이,clean
,깨끗하다,clean
,깨다,wake up 
,꺼내다,take out
,껌,chewing gum
,꼭,surely
,꽃,flower 
,꽃다발,bouquet
,꽃병,vase
,꽃집,"florist, flower shop"
,꾸다,dream 
,꿈,a dream
,끄다,turn off 
,끊다,quit
,끓다,(sth) boil
,끓이다,boil (sth)
,끝,end 
,끝나다,"(sth) end, finish"
,끝내다,finish (sth)
,끼다,wear
,나,I
,나가다,go out
,나누다,"divide, split"
,나다,happen
,나라,country
,나머지,"remainder, the rest"
,나무,tree
,나쁘다,bad
,나오다,come out
,나이,age
,나중,later
,나타나다,appear
,나흘,four days
,낚시,fishing
,날,day
,날다,fly
,날씨,weather
,날씬하다,slim
,날아다니다,fly around
,날짜,date
,남,other
,남기다,leave
,남녀,male and female
,남다,"remain, be left"
,남대문,Namdaemun
,남동생,brother
,남산,Namsan
,남성,male 
,남자,man 
,남쪽,South
,남편,husband 
,남학생,male student
,낫다,"recover, be better"
,낫다,better
,낮,daytime
,낮다,low
,낮잠,nap
,내,my 
,내과,internal medicine
,내년,next year
,내다,"give, set"
,내려가다,go down
,내려오다,come down
,내리다,"get off, fall"
,내용,content
,내일,tomorrow
,냄비,pot
,냄새,smell
,냉면,cold noodle
,냉장고,refrigerator
,너,you
,너무,too
,너희,your
,넓다,wide
,넘다,over
,넘어지다,fall down
,넣다,"put, place, lay"
,네,you
,네,four
,네,yes
,넥타이,necktie
,넷,four
,넷째,fourth
,년,year
,노란색,yellow color
,노랗다,yellow
,노래,song 
,노래방,karaoke
,노력,effort 
,노인,old man 
,노트,note
,녹색,green
,녹차,green tea 
,놀다,play
,놀라다,surprised
,놀이,"play, game"
,농구,basketball 
,농담,joke 
,높다,high
,높이,height 
,높이,"high, highly"
,놓다,"put, lay down"
,누구,who
,누나,sister 
,누르다,press 
,눈,eye
,눈,snow 
,눈물,tears 
,눕다,lie down 
,뉴스,news
,느끼다,feel 
,느낌,feeling
,느리다,slow 
,늘,"always, all the time"
,늘다,increase 
,늙다,old
,능력,ability 
,늦다,late
,다,all
,다녀오다,be back
,다니다,to go
,다르다,different 
,다른,different 
,다리,leg 
,다리,bridge
,다림질,ironing
,다섯,five
,다섯째,fifth
,다시,again 
,다양,various
